NO,KODE,NAMA BAHAN,SUMBER,AIR,ENERGI,PROTEIN,LEMAK,KH,SERAT,ABU,KALSIUM,FOSFOR,BESI,NATRIUM,KALIUM,TEMBAGA,SENG,RETINOL,B-KAR,KAR-TOTAL,THIAMIN,RIBOFLAVIN,NIASIN,VIT_C,
,,,,(g),(Kal),(g),(g),(g),(g),(g),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mcg),(mcg),(mcg),(mg),(mg),(mg),(mg),
359,CP063,Tahu telur,KZGMS-1993,41.8,328,12.6,19.9,24.6,0.4,1.1,492,238,4.9,755,,,,73,,1860,0.42,,,0,100
360,CP064,Takwa,KZGPI- 1990,72.2,148,13.8,8.5,4,0,1.6,140,214,8.5,3,79,0.3,1.3,,,920,0.2,0.1,0.8,,100
361,CP065,Tauco,KZGPI- 1990,54,184,11.4,5.5,22.2,1.9,6.9,72,463,6,1766,233,0.39,1,,0,664,0.32,0.2,0.8,0,100
362,CP066,"Tauco cap beruang, cake",KZGPI- 1990,11.4,347,7.4,5.2,67.6,3.2,8.4,63,106,6.2,,,,,,,936,0.35,,,0,100
363,CP067,"Tauco cap DAS, cake",KZGPI- 1990,10.2,358,7.5,4.3,70.4,3.1,7.6,94,94,4.5,,,,,,,504,0.29,,,0,100
364,CP068,Tauco cap meong,KZGPI- 1990,59.7,159,7.4,4.9,21.3,1.6,6.7,183,84,10.1,1547,204.1,0.34,0.9,,0,472,0.46,0.18,0.7,0,100
365,CP069,Tauji cap singa,KZGPI- 1990,30.4,277,9.1,4.7,49.6,1.2,6.2,68,106,3,,,,,,,936,0.15,,,0,100
366,CP070,Tempe bongkrek,DABM-1964,70,88,10,4,3,,146.3,27,100,2.6,,,,,0,,,0.08,,,0,100
367,CP071,Tempe gembus P3G,KZGPI- 1990,81.9,73,5.7,1.3,10.3,4.2,0.8,204,80,1.5,,,,,,,22,0.09,0.1,0.9,,100
368,CP072,Tempe gembus yogya,KZGPI- 1990,80.7,76,6.8,0.7,10.6,5.3,1.1,76,142,16.5,,,,,,,,0.79,0.01,0.1,,100
369,CP073,Tempe kacang babi,KZGPI- 1990,64,139,12.5,0.8,21.9,1.8,1.2,68,182,2.6,,,,,,,20,0.1,,,,100
