NO,KODE,NAMA BAHAN,SUMBER,AIR,ENERGI,PROTEIN,LEMAK,KH,SERAT,ABU,KALSIUM,FOSFOR,BESI,NATRIUM,KALIUM,TEMBAGA,SENG,RETINOL,B-KAR,KAR-TOTAL,THIAMIN,RIBOFLAVIN,NIASIN,VIT_C,
,,,,(g),(Kal),(g),(g),(g),(g),(g),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mcg),(mcg),(mcg),(mg),(mg),(mg),(mg),
502,DR120,"Kundur, segar",KZGMI-2001,94,22,0.4,0.2,4.7,1.3,0.7,3,54,0.5,2,200,0.1,0.3,,7,,0.1,0.03,0.4,1,57
503,DR121,"Labu air, segar",DABM-1964,95,19,0.6,0.2,3.8,0.6,0.4,12,18,0.6,2,168.2,0.03,0.8,,11,70,0.04,0.02,0.4,10,80
504,DR122,"Labu kuning, segar",KZGMI-2001,86.6,51,1.7,0.5,10,2.7,1.2,40,180,0.7,280,220,0.35,1.5,,1569,,0.2,0,0.1,2,74
505,DR123,"Labu siam, segar",DABM-1964,92.3,30,0.6,0.1,6.7,6.2,0.3,14,25,0.5,3,167.1,0.16,1,,48,20,0.2,0,0.6,18,83
506,DR124,"Labu waluh, segar",DABM-1964,91.2,32,1.1,0.1,6.6,0.5,1,45,64,1.4,1,356.2,0.13,0.3,,712,180,0.08,0.12,0.6,52,77
507,DR125,"Lantar, segar",KZGMI-2001,91.2,34,2.2,0.3,5.5,2.9,0.8,10,58,0.4,3,155,0.2,0.4,,38,,0.3,0.07,0.4,4,
508,DR126,"Lobak, segar",DABM-1964,94.1,21,0.9,0.1,4.2,2,0.7,35,26,0.6,49,109.3,0.03,0.2,,0,10,0.03,0.04,0.3,32,87
509,DR127,"Lumai/Leunca, segar",KZGMI-2001,90.5,38,1.1,0.3,7.6,2,0.5,7,55,1,2,,0.1,0.3,,25,,0.2,0.1,0.6,17,95
510,DR128,"Melinjo, segar",DABM-1964,80,66,5,0.7,13.3,,1,163,75,2.8,,,,,,,1000,0.1,,,10,60
511,DR129,Mostarda metan -sawi,KZGMI-2001,91.4,33,2.3,0.5,4.7,1.8,1.1,60,30,3.1,20,100,0.1,0.4,,1575,,0.2,0.1,0.1,12,85
512,DR130,"Nangka muda, segar",DABM-1964,85.4,57,2,0.4,11.3,8.3,0.9,45,29,0.5,1,246.5,0.04,0.1,,21,25,0.07,0.06,0.7,9,80
513,DR131,"Paria putih, segar",KZGPI-1990,94.4,19,1,0.4,3.6,1.3,0.6,31,65,0.9,5,277.7,0.03,0.8,0,197,80,0.18,0.04,0.4,58,80
514,DR132,"Pepare ular, segar",KZGMI-2001,95.1,19,0.6,0.1,3.9,1,0.3,20,10,0.4,130,30,0.1,0.1,,69,,0.1,0.1,0.1,9,97
515,DR133,"Pepaya muda, segar",DABM-1964,92.3,29,2.1,0.1,4.9,2.1,0.6,50,16,0.4,22,211.2,0.01,0,,0,50,0.02,0.03,0.3,19,65
516,DR134,"Petai, segar",KZGMI-2001,77.2,92,5.4,1.1,15.2,2,1.1,14,170,1.6,55,221,0.2,0.8,,114,,0.8,0.1,6.1,34,36
517,DR135,"Peterseli, segar",DABM-1964,83.9,53,3.7,1,9,0,2.4,193,84,4.3,18,1125.6,0.2,1.4,,2940,8230,0.11,0.29,0.7,19,95
518,DR136,"Pucuk lumai/daun leunca, segar",KZGMI-2001,91,33,4.5,0.4,2.8,,1.3,13,75,2.9,2,0,0.2,0.6,,,,0.5,0.1,,41,70
519,DR137,"Putri malu, segar",KZGMI-2001,80.2,76,3.6,0.3,14.6,7.1,1.3,119,84,3.3,1,631,0.6,1.4,,4762,,0.6,0.6,,6,
520,DR138,"Rebung, segar",KZGMI-2001,93.3,25,0.8,0.1,5.3,9.7,0.5,3,5,0.5,3,206,0.1,0.4,,10,,0.2,0.07,0.5,0,28
521,DR139,"Rimbang, segar",KZGMI-2001,80.8,75,1.6,0.6,15.8,10,1.2,55,97,0.6,20,234,0.4,0.4,,51,,0.4,0.1,1.3,38,95
522,DR140,Rumput laut,KZGMI-2001,87,41,1.4,0.3,8.1,2.2,3.2,80,20,1.6,250,380,0.2,0.4,,1958,,0.2,0,0.1,7,100
523,DR141,"Sawi, segar",DABM-1964,92.2,28,2.3,0.3,4,2.5,1.2,220,38,2.9,22,436.5,0.12,0.2,,2042,6460,0.09,0.23,0.7,102,87
524,DR142,"Sawi putih / pecai, segar",KZGPI-1990,96.6,9,1,0.1,1.7,0.8,0.6,56,42,1.1,5,193.1,0.05,0.1,0,862,832,0.05,0.18,0.4,3,79
525,DR143,"Sawi taiwan, segar",KZGMI-2001,91.8,30,1.9,0.5,4.4,2.7,1.4,100,58,1.6,27,217,0.1,0.7,,1340,,0.2,0.1,0.6,33,85
526,DR144,"Sawi tanah, segar",KZGMI-2001,94.9,19,1.3,0.2,2.9,2.2,1,92,45,1.2,17,145,0.1,0.4,,815,,0.2,0.1,0.1,36,85
527,DR145,"Selada, segar",DABM-1964,94.8,18,1.2,0.2,2.9,1.8,0.9,22,25,0.5,19,186.4,0.03,0.2,,1526,540,0.04,0.13,0.4,8,69
528,DR146,"Selada air, segar",KZGPI-1990,93.3,17,3.1,0.2,2.2,0.7,1.2,95,152,2.4,65,260.7,0.11,0.2,0,1230,3727,0.09,0.14,0.7,56,70
529,DR147,"Seledri, segar",DABM-1964,93,23,1,0.1,4.6,2,1.3,50,40,1,64,258.8,0.08,0.4,,63,130,0.03,0.07,0.4,11,63
530,DR148,"Taoge, segar",KZGPI-1990,90.4,34,3.7,1.2,4.3,1.1,0.4,166,74,0.8,19,93.3,0.16,0.4,,41,20,0.09,0.15,1.1,5,100
531,DR149,"Taoge kacang kedelai, segar",DABM-1964,81,76,9,2.6,6.4,0.7,1,50,65,1,5,212.4,0.26,0.7,,0,110,0.23,0.19,1.2,15,100
532,DR150,"Taoge kacang tunggak, segar",DABM-1964,88,40,5,0.2,5.8,2.6,1,57,88,1,2,226.8,0.07,0.5,,299,0,0.07,0.08,0.8,15,90
533,DR151,"Tebu terubuk (lilin), segar",DABM-1964,91,30,4.6,0.4,3,0.8,1,40,80,2,699,,0.2,1.1,,12,0,0.08,0.2,1.2,50,20
534,DR152,"Tekokak, segar",DABM-1964,89,34,2,0.1,7.9,4.9,1,50,30,2,3,333.3,0.12,0.2,,23,750,0.08,0.05,0.9,8,95
535,DR153,"Tekokak, kering",DABM-1964,12.3,302,8.3,1.7,72.6,21.2,8.1,370,180,22.2,9,0,1044,1,,187,750,0.4,0.17,5.1,0,100
536,DR154,"Terong, segar",DABM-1964,92.7,28,1.1,0.2,5.5,2.1,0.5,15,37,0.4,9,187,0.1,0.1,,46,30,0.04,0.03,0.5,5,100
537,DR155,"Terong asam, segar",KZGMI-2001,90.5,37,2,0.4,6.3,3.2,0.8,13,59,1.5,3,155,0.3,0.3,,97,,0.2,0.1,0.8,4,
538,DR156,"Terung belanda, segar",KZGPI-1990,87.3,52,2.1,1.1,8.6,1.4,1,16,40,1.1,,,,,0,,8048,0.43,0.06,0,12,100
539,DR157,"Terung bengkulu,segar",KZGPI-1990,86.6,52,1.1,0.4,11.2,3.2,0.8,19,39,1.1,14,,0.16,1,0,85,600,0.23,0.04,0,6,100
540,DR158,"Terong hintalo, segar",KZGMI-2001,89.2,45,1.9,0.8,7.5,5.1,0.6,19,268,1,167,142,0.6,0.2,,552,,0.2,0.4,,4,
541,DR159,Terung panjang,KZGPI-1990,91.8,25,2.1,0.1,5.3,0.5,0.7,38,24,0.7,9,53.7,0.09,0.2,0,83,24,0.15,0.06,0.7,8,100
542,DR160,"Tomat, air (sari), segar",DABM-1964,94,20,1,0.2,3.5,0.4,1.3,7,15,0.4,10,225.2,0.06,0.1,,266,600,0.05,0.03,0.7,10,100
543,DR161,"Tomat merah, segar",KZGPI-1990,92.9,24,1.3,0.5,4.7,1.5,0.6,8,77,0.6,10,164.9,0.14,0.2,,575,2083,0.06,0.07,0.4,34,100
544,DR162,"Tomat muda, segar",DABM-1964,93,24,2,0.7,3.3,1.8,2,5,27,0.5,10,210,0.07,0.2,,384,320,0.07,0.04,0.7,30,95
545,DR163,"Uceng/ bunga melinjo, segar",KZGPI-1990,79.5,82,5.8,1.3,11.7,4.8,1.7,70,266,2.4,,,,,,,58,0.11,0.15,,3,89
546,DR164,"Umbut kelapa, segar",KZGMI-2001,89.3,39,2,0.2,7.2,2.5,1.3,57,49,,4,447,0.2,1.4,,16,,0.1,0.1,,8,
547,DR165,Umbut rotan,KZGMI-2001,90.5,34,2.4,0.3,5.5,2.2,1.3,89,79,1.3,8,552,0.2,1.9,,14,,0.2,,,9,
548,DR166,"Wortel, segar",KZGPI-1990,89.9,36,1,0.6,7.9,1,0.6,45,74,1,70,245,0.06,0.3,,3784,7125,0.04,0.04,1,18,80
549,DP001,"Bayam, kukus",KZGPI-1990,90.7,30,1.3,0.7,5.8,1.2,1.6,239,35,5.7,15,431,0.1,0.3,0,2699,3750,0.02,0.1,0.9,32,100
550,DP002,"Bayam ,rebus",KZGPI-1990,93.5,23,1.2,0.6,3.7,1.1,1,150,35,0.5,16,308.4,0.2,0.3,0,3282,2864,0.02,0.1,0.9,19,100
551,DP003,"Buncis, rebus",KZGPI-1990,90.6,30,2.2,0.2,6.4,1.5,0.6,107,47,0.5,7,138.9,0.1,0.3,,1,402,0.01,0.29,2,8,100
552,DP004,"Daun kacang panjang, kukus",KZGPI-1990,87.2,40,3.7,0.3,8,1.8,0.8,111,66,3.7,6,419.5,0.2,0.3,0,2645,5781,0.15,0.2,0.9,11,100
553,DP005,"Daun katuk, rebus",KZGPI-1990,83.3,53,5.3,0.9,9.1,1.2,1.4,185,102,3.1,16,291.3,0.3,1.3,0,11131,9000,0,0.3,2.2,66,100
554,DP006,"Daun kelor, rebus",KZGPI-1990,80.3,61,6.1,0.9,10,0.9,2.6,255,36,2.1,45,181.2,0.1,0.6,,3972,6071,0.1,0.1,4,13,100
555,DP007,"Daun mengkudu, kukus",KZGPI-1990,81.6,63,3.8,1.5,11.5,2.4,1.6,300,43,6,,,,,,2,4900,0.08,0.1,5.2,11,100
556,DP008,"Daun singkong, rebus",KZGPI-1990,90.5,31,3.7,0.6,4.8,1.6,0.4,160,50,2.6,13,14,0.1,2,,3897,4150,0.02,0.1,1.7,34,100
557,DP009,"Daun talas, rebus",KZGPI-1990,91.6,27,1.3,0.2,5.9,1.6,1,119,41,1.4,3,519.4,0.5,0.5,0,4641,2682,0,0.6,1.9,7,100
558,DP010,"Daun ubi merah, kukus",KZGPI-1990,82.5,56,3.1,0.3,13,1.5,1.1,78,52,4.3,28,472.8,0.1,0.4,,5277,5397,0,0.2,1.1,14,100
559,DP011,"Kacang panjang,kukus",KZGPI-1990,88.2,39,3,0.6,7.6,1.7,0.6,100,91,1.2,28,199,0.11,0.5,0,131,205,0.02,0.1,0.3,20,100
560,DP012,"Kacang panjang, rebus",KZGPI-1990,90.9,30,2.3,0.4,5.8,1.4,0.6,71,68,0.8,24,114.5,0.1,0.4,0,128,162,0,0.07,0.2,15,100
561,DP013,"Kangkung, kukus",KZGPI-1990,90.4,30,3.2,0.7,4.7,1.8,1,70,49,4.4,45,184.9,0.1,0.3,0,2370,5837,0.03,0.28,1.4,11,100
562,DP014,"Kangkung, rebus",KZGPI-1990,93,22,2.5,0.6,3.1,1.2,0.8,50,51,3.5,31,98,0.1,0.3,0,2370,4325,0.01,0.22,1.2,13,100
563,DP015,"Paria putih, kukus",KZGPI-1990,95,16,0.8,0.2,3.4,1.2,0.6,16,33,0.5,4,236,0,0.7,,187,65,0.15,0.04,0.3,35,100
564,DP016,"Selada, rebus",KZGPI-1990,93.5,19,2.7,0.2,2.9,0.7,0.7,83,74,1.4,24,160.7,0.05,0.2,,2499,3700,0.08,0.2,0.6,27,100
565,DP017,"Taoge, goreng",KZGPI-1990,79.2,88,3.2,2.1,14,0.7,1.5,168,50,5.7,,,,,2,,613,0.05,,,0,100
566,DP018,"Taoge, seduh",KZGPI-1990,91.9,28,3,0.8,4,1,0.3,52,73,0.5,18,58.3,0.19,0.4,,46,18,0.1,0,0.9,2,87
567,DP019,"Terung panjang, kukus",KZGPI-1990,92.7,23,1.8,0.1,4.9,0.4,0.5,40,13,0.5,9,57,67.1,0.2,0,99,20,0,0.07,0.7,1,100
568,DP020,"Wortel, rebus",KZGPI-1990,92.1,28,0.7,0.5,6.3,0.8,0.4,46,28,0.6,41,117.3,0.1,0.2,0,3824,5396,0.01,0.03,0.7,12,100
569,DP021,"Wortel, kukus",KZGPI-1990,89.5,37,1,0.6,8.3,1.1,0.6,44,30,0.6,43,122.5,0.11,0.3,0,3994,7150,0.02,0.03,0.8,14,100
570,DP022,"Asinan Bogor, sayuran",KZGMS-1993,78,98,3.9,2.6,14.8,0.5,0.7,314,17,1.2,483,,,,10,,146,0.28,,,5,100
575,DP027,Botok lamtoro,KZGPI-1990,63.9,186,11.7,9.7,13,2.1,2.2,771,322,26,,,,,18,,179,0.27,,,2,100
576,DP028,Buntil daun talas,KZGPI-1990,74.5,141,4.4,10.2,8,1.8,3,149,121,14.5,,,,,13,,8610,0.25,,,1,100
577,DP029,Cammetutu,KZGMI-2001,79.6,102,3.2,6,8.7,4.3,2.5,41,93,0.5,443,518,0.3,0.7,,1123,,0.3,0.4,0.4,19,100
578,DP030,"Cap cai, sayur",KZGMS-1993,82.7,97,5.8,6.3,4.2,0.6,1,287,89,1.8,405,,,,45,,1640,0.21,,,1,100
579,DP031,Gado-gado,KZGPI-1990,68.5,137,6.1,3.2,21,1.1,1.5,301,135,7.5,,,,,3,,5929,0.1,,,1,100
580,DP032,"Gudeg, sayur",KZGPI-1990,69.2,160,3.3,9.2,16,2.3,2.1,62,55,12.8,,,,,0,,166,0.15,,,0,100
581,DP033,Gulai pakis,KZGPI-1990,76.1,143,4,11.4,6,1.4,2.6,548,124,1.7,,,,,11,,9802,0.35,,,1,100
582,DP034,Gulai pliek,KZGMI-2001,71.9,176,7.3,14.9,3.2,,2.7,39,54,1.4,257,285,0.3,0.6,,,,,,,,100
585,DP037,"Karedok, sayur",KZGPI-1990,79,92,2.2,3.3,14.1,1.4,1.4,174,85,2.4,,,,,0,,1,0.08,,,3,100
586,DP038,Keripik bayam,KZGPI-1990,2.3,586,4.9,40.6,50.2,0.5,1.9,236,117,3.6,,,,,0,,4544,0.16,,,0,100
592,DP044,Pelecing kangkung,KZGMI-2001,83.8,75,2.5,2.8,10,5.4,0.9,36,3,2.1,408,381,0.1,0.4,,870,,0.7,,0.2,12,100
594,DP046,Rujak cingur,KZGPI-1990,70.1,153,11.3,8.4,8,1.4,1.4,256,143,4.4,,,,,18,,2880,0.16,,,2,100
595,DP047,Sayur asem,KZGPI-1990,93.2,29,0.7,0.6,5,0.6,0.8,40,61,3.1,,,,,14,,2075,0.1,,,0,100
596,DP048,Sayur bunga pepaya,KZGMI-2001,83.4,49,1.7,0.3,9.8,2.7,2.1,220,220,1.3,90,350,0.1,0.1,,372,,,0.1,0,0,100
601,DP053,Sayur sop,KZGPI-1990,92.7,27,1.3,2,1,0.3,2.7,168,57,1.8,,,,,20,,2569,0.1,,,0,100
604,DP056,Shabu-shabu,KZGMS-1993,87.1,88,3.2,8,0.8,0.9,0.9,217,48,2.9,514,,,,82,,2000,0.2,,,0,100
605,DP057,Semur jengkol,KZGMS-1993,52.7,212,6,10,29.1,,2.2,77,99,1,,,,,,,81,0.14,,,4,100
607,DP059,Tumis bayam bersantan,KZGPI-1990,91.2,48,1.4,4.2,2.6,0.5,0.6,129,27,0.8,,,,,0,,2988,0.01,,,22,100
610,ER001,"Alpukat, segar",DABM-1964,84.3,85,0.9,6.5,7.7,,0.6,10,20,0.9,2,278,0.2,0.4,,189,180,0.05,0.08,1,13,61
611,ER002,"Anggur hutan, segar",KZGPI- 1990,92.3,30,0.5,0.2,6.8,1.2,0.2,39,12,1.1,,,,,0,,1,0.01,,,3,100
612,ER003,"Apel malang, segar",KZGPI- 1990,85.9,57,0.5,0.4,12.8,0.8,0.3,9,18,0.6,3.6,175.4,110.2,0,,26,2240,0.05,0.03,0.1,5,88
613,ER004,"Apel, segar",DABM-1964,84.1,58,0.3,0.4,14.9,2.6,0.3,6,10,0.3,2,130,124.2,0.3,,30,90,0.04,0.03,0.1,5,88
615,ER006,"Belimbing, segar",DABM-1964,90,36,0.4,0.4,8.8,3.2,0.4,4,12,1.1,4,130,,0.1,,29,170,0.03,,,35,86
621,ER012,"Buah Naga Merah, segar",BKP,85.7,71,1.7,3.1,9.1,3.2,0.4,13,14,0.4,10,128,0,0.4,,0,0,0.5,0.3,0.5,1,66.5
622,ER013,"Buah Naga Putih, segar",BKP,86.6,56,0.8,1,10.9,3.2,0.6,13,27,0.5,7,231,0,0.4,,0,0,0.02,0.5,0.9,1,73.6
629,ER020,"Carica papaya, segar",KZGPI- 1990,93.4,24,1.9,0.2,3.7,1,0.9,51,33,1.8,,,,,0,0,1000,0.32,0.07,0,85,60
630,ER021,"Cempedak, segar",DABM-1964,67,116,3,0.4,28.6,3.4,1,20,30,1.5,25,243.7,,,,79,200,0,,0.5,15,30
631,ER022,"Duku, segar",DABM-1964,82,63,1,0.2,16.1,4.3,0.7,18,9,0.9,2,149,0.1,0.2,,0,0,0.05,0.15,1.5,9,64
632,ER023,"Durian, segar",DABM-1964,65,149,2.5,3,21.5,3.5,8,7,44,1.3,1,601,0.1,0.3,,146,175,0.1,0.19,136.5,53,22
639,ER030,"Jambu air, segar",DABM-1964,87,46,0.6,0.2,11.8,2.1,0.8,8,9,1.1,11,321.2,,0.1,,92,,0.02,0.38,4.6,5,90
640,ER031,Jambu biji,DABM-1964,86,64,0.9,0.3,12.2,2.4,0.6,14,28,1.1,10,52.8,0,0.3,,27,25,0.02,0.03,0.8,87,82
641,ER032,Jambu bj putih tdk brbj,KZGPI- 1990,82.8,61,0.9,0.3,15.4,4.5,0.6,31,41,0.2,20,103,0,0.5,,53,18,1.02,0.06,1.3,11,82
642,ER033,"Jambu bol, segar",KZGMI-2001,87.1,49,2.3,0.2,9.6,3.5,0.8,8,8,0.3,1,14,0,0,,92,,0.13,0.01,0.5,22,67
643,ER034,"Jambu monyet, segar",DABM-1964,82.6,49,0.7,0.6,15.8,1.2,0.3,4,13,0.5,12,107.8,,,,1604,25,0.02,0,2,19,90
644,ER035,"Jeruk bali, segar",DABM-1964,86.3,48,0.6,0.2,12.4,0.8,0.5,23,27,0.5,21,366.1,171.3,0.1,,33,20,0.04,0,0.4,43,62
645,ER036,"Jeruk banjar, segar",KZGMI-2001,84.5,61,0.8,0.2,14.1,5.4,0.4,9,13,0.2,3,79,0.1,0.1,,9,,0.12,0.03,0.3,31,72
646,ER037,Jeruk garut-keprok,DABM-1964,87.3,44,0.8,0.3,10.9,1.6,0.7,33,23,0.4,5,518.1,169.3,0.2,,0,420,0.07,0.03,0.2,31,71
647,ER038,"Jeruk Kalamansi, segar",BKP,90.2,39,0.3,0.3,8.9,2.3,0.4,42,85,0.5,3,82,0.3,0.1,,1,0.3,0.02,0.1,0,30,100
648,ER039,"Jeruk manis, segar",DABM-1964,87.2,45,0.9,0.2,11.2,1.4,0.5,33,23,0.4,4,472.1,160,0.2,,0,190,0.08,0.03,0.2,49,72
649,ER040,"Jeruk nipis, segar",KZGPI- 1990,88.9,44,0.5,0.2,10,0.4,0.4,18,22,0.2,3,108.9,0.1,0.1,,23,4,0.01,0.03,0.2,20,76
650,ER041,"Jeruk ragi, segar",KZGPI- 1990,87.6,49,0.7,0.2,11.1,0.5,0.4,36,67,0.7,4,457.3,155,0.2,,0,68,0.03,0.03,0.2,30,59
651,ER042,"Kawista, segar",KZGPI- 1990,71.8,120,3.5,2.5,20.8,4.6,1.4,190,230,1.6,9,1015.6,308.4,0.4,,99,,0.07,0.07,0.4,3,72
652,ER043,"Kedondong masak, segar",DABM-1964,88,46,1,0.1,10.3,2.6,0.6,15,22,2.8,2,216.2,0,0.1,,164,233,0.08,0.23,0.3,30,58
653,ER044,"Kedondong, segar",KZGMI-2001,87.8,47,0.5,0.2,10.4,2.7,0.6,7,58,0.8,2,0,,0.2,,167,,0.07,0.04,0.4,32,58
654,ER045,"Kelapa hutan, kering",KZGMI-2001,6,623,2,52.1,36.5,15.3,3.4,120,280,3.8,100,460,1.7,1.9,,,,,,0.2,,
655,ER046,"Kelapa muda, daging, segar",DABM-1964,83.3,68,1,0.9,14,0,0.8,7,30,1,17.9,564.6,0.1,0.3,0,0,,0.06,0.02,0.6,4,53
657,ER048,"Kesemek, segar",DABM-1964,78.2,78,0.8,0.4,20,0.6,0.6,6,26,0.3,0,34.5,0.1,0.1,,109,2710,0.05,0,0.1,11,97
662,ER053,"Lontar, segar",KZGPI- 1990,93,27,0.4,0.2,6,1.6,0.4,91,243,0.5,,,,,,,,0.03,,,,79
663,ER054,"Mangga, segar",KZGMI-2001,86.6,52,0.7,0,12.3,1.6,0.2,20,16,1,3,140,0.3,0,,316,,0.03,0.01,0.3,12,65
664,ER055,"Mangga benggala, segar",KZGMI-2001,84.4,63,2.4,0.4,12.4,5.8,0.4,9,13,0.2,3,79,0.1,0.1,,10,,0.18,0.01,0.4,43,65
665,ER056,"Mangga gedung, segar",DABM-1964,87.4,44,0.7,0.2,11.2,1.6,0.5,13,10,0.2,2,83.6,0,0.1,,113,16400,0.08,0.01,0.3,30,65
666,ER057,"Mangga golek, segar",DABM-1964,82.2,63,0.5,0.2,16.7,2.3,0.4,14,10,0.7,3,118.1,0.1,0.1,,160,3715,0.08,0.02,0.4,65,65
667,ER058,"Mangga harumanis, segar",DABM-1964,86.6,46,0.4,0.2,11.9,1.7,0.8,15,9,0.2,2,88.9,0,0.1,,120,1200,0.08,0.01,0.3,6,65
668,ER059,"Mangga indramayu, segar",DABM-1964,80.2,72,0.8,0.2,18.7,2.5,0.1,13,10,1.9,3,131.4,0.1,0.1,,178,2900,0.06,0.02,0.5,16,65
669,ER060,"Mangga kopek, segar",DABM-1964,84.5,56,0.4,0.2,14.6,2,0.3,16,10,1.7,2,102.9,0,0.1,,139,6520,0.03,0.01,0.4,27,65
670,ER061,"Mangga kwini, segar",KZGMI-2001,78.6,86,0.7,0.5,19.8,6.5,0.4,11,11,0.2,1,16,0.1,0.1,,932,,0.15,0.02,0.5,18,65
671,ER062,"Mangga manalagi, segar",KZGMI-2001,66.5,133,1,0.1,32.1,11.8,0.3,20,23,1,70,161,0,0,0,4,,0.07,0,0.6,61,65
672,ER063,"Mangga muda, segar",DABM-1964,83.7,59,0.5,0.4,15.1,,0.3,12,11,0.4,2,108.2,0.1,0.1,,146,85,0.06,0.02,0.4,2,73
673,ER064,"Manggis, segar",DABM-1964,83,63,0.6,0.6,15.6,1.5,0.2,8,12,0.8,10,61.9,0.1,0.1,,0,0,0.03,0.03,0.3,5,29
674,ER065,"Markisa, segar",KZGPI- 1990,64.7,144,3.5,1.2,29.8,11.4,0.8,27,203,1.4,37,453.8,0.1,0.1,0,969,691,0.02,0.17,2,10,48
675,ER066,"Matoa, segar",KZGMI-2001,76.5,90,1.2,0.1,21.1,0.5,1.1,20,40,0.6,10,190,0.3,0.6,,2,,0.18,0.09,0.5,54,40
676,ER067,"Melon, segar",BKP,90.8,37,0.6,0.4,7.8,1,0.5,12,14,0.4,27,167,0.3,0.1,,1,0,0.02,0.1,0,0,58.1
678,ER069,"Nanas palembang, segar",KZGMI-2001,85.5,58,0.7,0.2,13.3,1.6,0.3,29,15,0.6,7,117,0,0.1,,17,,0.26,0.03,0.2,11,53
679,ER070,"Nanas, segar",KZGPI- 1990,88.9,40,0.6,0.3,9.9,0.6,0.3,22,14,0.9,18,111,0,0.1,0,17,90,0.02,0.04,0.2,22,53
680,ER071,"Nangka masak pohon, segar",DABM-1964,70,106,1.2,0.3,27.6,3.7,2.7,20,19,0.9,2,407,246.6,1.4,,149,330,0.07,0.1,1,7,28
682,ER073,"Pepaya, segar",DABM-1964,86.7,46,0.5,0.1,12.2,1.6,0.6,23,12,1.7,4,221,0,0.3,,1038,365,0.04,0.06,0.4,78,75
683,ER074,"Pisang ambon, segar",KZGMI-2001,72.9,108,1,0.8,24.3,1.9,1,20,30,0.2,10,356.3,0.2,0.2,,37,,0.05,0.11,0.1,9,75
684,ER075,"Pisang angleng (pisang ampyang), segar",DABM-1964,80.3,68,1.3,0.2,17.2,0.8,1,10,26,0.6,23,215.7,0,0,,9,76,0.08,0.05,2.5,6,75
685,ER076,"Pisang ayam, segar",KZGMI-2001,71.2,120,1.1,0.2,26.8,4.1,0.7,20,61,0.4,6,392,0.1,0.3,,24,,0.1,0.02,1,26,75
686,ER077,"Pisang gapi, segar",KZGMI-2001,66.3,131,1.6,0.1,31.1,11.7,1,58,40,0.3,6,392,0.1,0.3,,13,,0.18,0.02,0.3,13,75
687,ER078,"Pisang goroho, segar",KZGMI-2001,69.4,119,1.5,0.2,27.9,4.6,1,2,30,0.2,36,359,0.1,0.3,,11,,0.15,0.02,1.1,10,75
688,ER079,"Pisang hijau, segar",KZGPI- 1990,68.9,121,1,0.1,28.9,0.4,1.1,9,37,0.9,31,529.4,0.3,0.6,,48,1000,0.13,0.06,0,13,72
689,ER080,"Pisang kayu, segar",KZGMI-2001,74.4,100,1.4,0.5,23.6,2.6,0.6,15,0,0.1,1,493,0.1,0.3,,3,,0.1,0,0.6,11,75
690,ER081,"Pisang kepok, segar",KZGMI-2001,71.9,109,0.8,0.5,26.3,5.7,1,10,30,0.5,10,300,0.1,0.2,,0,,0.1,0,0.1,9,75
691,ER082,"Pisang ketip, segar",KZGMI-2001,63.4,145,1.1,0.3,34.5,6.6,0.7,5,54,0.1,4,726,0.2,0.5,,3,,0.13,0.02,0.8,95,75
692,ER083,"Pisang kidang, segar",KZGPI- 1990,75.4,96,1,0.2,22.5,0.6,0.9,87,173,0.6,6,418.8,0.2,0.5,,38,58,0.04,0.1,0.9,2,70
693,ER084,"Pisang lampung, segar",DABM-1964,72.1,99,1.3,0.2,25.6,4.3,0.8,10,19,0.9,28,475,0.3,0.5,,43,618,0.07,0.12,1,4,75
694,ER085,"Pisang mas bali ampenan, segar",KZGMI-2001,76.8,92,1.4,0.2,21,3.7,0.5,7,29,1.2,32,272,0.2,0.4,,14,,0.09,0.03,0.6,11,75
695,ER086,"Pisang mas bali kopang, segar",KZGMI-2001,64.2,127,1.4,0.2,31.8,3.7,2.4,10,0,0.1,43,616,0.1,0.4,,21,,0.21,0.05,0.9,17,75
696,ER087,"Pisang mas, segar",DABM-1964,64.2,127,1.4,0.2,33.6,1.4,0.6,7,25,0.8,42,392,195.8,0.5,,17,79,0.09,0.08,4.5,2,85
697,ER088,"Pisang raja sereh, segar",KZGPI- 1990,69.3,108,1.3,0.3,28.2,0.7,1,16,38,0.1,31,522.6,0.3,0.6,,48,480,0.02,0.08,1.1,2,86
698,ER089,"Pisang raja, segar",DABM-1964,65.8,120,1.2,0.2,31.8,5.3,1,10,22,0.8,35,582.2,0.3,0.7,,53,950,0.06,0.14,1.2,10,70
699,ER090,"Pisang rotan, segar",KZGPI- 1990,76.1,98,1.3,1.2,20.5,1,0.9,17,51,1.1,24,406.9,0.2,0.5,,37,697,0.01,0.1,0.9,2,56
700,ER091,"Pisang talas, segar",KZGMI-2001,71,113,1.2,0.2,26.7,4.4,0.9,22,22,0.6,29,48,0.3,0.1,,159,,0.12,0.03,1,9,75
701,ER092,Pisang tujuh bulan,KZGMI-2001,75.9,94,0.6,0.2,22.5,3.7,0.8,50,20,0.2,0,4,0.1,0.4,0,72,,0.03,0.03,0.3,6,75
702,ER093,"Pisang ua, segar",KZGMI-2001,67.8,128,0.8,0.5,30.2,8.1,0.7,12,28,0.7,33,382,0.2,0.3,,5,,0.09,0.01,1.2,4,75
