KODE,NAMA BAHAN,SUMBER,ENERGI,PROTEIN,LEMAK,KH,SERAT,Cluster
DP020,"Wortel, rebus",KZGPI-1990,28.0,0.7,0.5,6.3,0.8,0
DP021,"Wortel, kukus",KZGPI-1990,37.0,1.0,0.6,8.3,1.1,0
DP022,"Asinan Bogor, sayuran",KZGMS-1993,98.0,3.9,2.6,14.8,0.5,0
DP027,Botok lamtoro,KZGPI-1990,186.0,11.7,9.7,13.0,2.1,0
DP028,Buntil daun talas,KZGPI-1990,141.0,4.4,10.2,8.0,1.8,0
DP029,Cammetutu,KZGMI-2001,102.0,3.2,6.0,8.7,4.3,0
DP030,"Cap cai, sayur",KZGMS-1993,97.0,5.8,6.3,4.2,0.6,0
DP031,Gado-gado,KZGPI-1990,137.0,6.1,3.2,21.0,1.1,0
DP032,"Gudeg, sayur",KZGPI-1990,160.0,3.3,9.2,16.0,2.3,0
DP033,Gulai pakis,KZGPI-1990,143.0,4.0,11.4,6.0,1.4,0
DP034,Gulai pliek,KZGMI-2001,176.0,7.3,14.9,3.2,,0
DP037,"Karedok, sayur",KZGPI-1990,92.0,2.2,3.3,14.1,1.4,0
DP038,Keripik bayam,KZGPI-1990,586.0,4.9,40.6,50.2,0.5,1
DP044,Pelecing kangkung,KZGMI-2001,75.0,2.5,2.8,10.0,5.4,0
DP046,Rujak cingur,KZGPI-1990,153.0,11.3,8.4,8.0,1.4,0
DP047,Sayur asem,KZGPI-1990,29.0,0.7,0.6,5.0,0.6,0
DP048,Sayur bunga pepaya,KZGMI-2001,49.0,1.7,0.3,9.8,2.7,0
DP053,Sayur sop,KZGPI-1990,27.0,1.3,2.0,1.0,0.3,0
DP056,Shabu-shabu,KZGMS-1993,88.0,3.2,8.0,0.8,0.9,0
DP057,Semur jengkol,KZGMS-1993,212.0,6.0,10.0,29.1,,0
DP059,Tumis bayam bersantan,KZGPI-1990,48.0,1.4,4.2,2.6,0.5,0
ER001,"Alpukat, segar",DABM-1964,85.0,0.9,6.5,7.7,,0
ER002,"Anggur hutan, segar",KZGPI- 1990,30.0,0.5,0.2,6.8,1.2,0
ER003,"Apel malang, segar",KZGPI- 1990,57.0,0.5,0.4,12.8,0.8,0
ER004,"Apel, segar",DABM-1964,58.0,0.3,0.4,14.9,2.6,0
ER006,"Belimbing, segar",DABM-1964,36.0,0.4,0.4,8.8,3.2,0
ER012,"Buah Naga Merah, segar",BKP,71.0,1.7,3.1,9.1,3.2,0
ER013,"Buah Naga Putih, segar",BKP,56.0,0.8,1.0,10.9,3.2,0
ER020,"Carica papaya, segar",KZGPI- 1990,24.0,1.9,0.2,3.7,1.0,0
ER021,"Cempedak, segar",DABM-1964,116.0,3.0,0.4,28.6,3.4,0
ER022,"Duku, segar",DABM-1964,63.0,1.0,0.2,16.1,4.3,0
ER023,"Durian, segar",DABM-1964,149.0,2.5,3.0,21.5,3.5,0
ER030,"Jambu air, segar",DABM-1964,46.0,0.6,0.2,11.8,2.1,0
ER031,Jambu biji,DABM-1964,64.0,0.9,0.3,12.2,2.4,0
ER032,Jambu bj putih tdk brbj,KZGPI- 1990,61.0,0.9,0.3,15.4,4.5,0
ER033,"Jambu bol, segar",KZGMI-2001,49.0,2.3,0.2,9.6,3.5,0
ER034,"Jambu monyet, segar",DABM-1964,49.0,0.7,0.6,15.8,1.2,0
ER035,"Jeruk bali, segar",DABM-1964,48.0,0.6,0.2,12.4,0.8,0
ER036,"Jeruk banjar, segar",KZGMI-2001,61.0,0.8,0.2,14.1,5.4,0
ER037,Jeruk garut-keprok,DABM-1964,44.0,0.8,0.3,10.9,1.6,0
ER038,"Jeruk Kalamansi, segar",BKP,39.0,0.3,0.3,8.9,2.3,0
ER039,"Jeruk manis, segar",DABM-1964,45.0,0.9,0.2,11.2,1.4,0
ER040,"Jeruk nipis, segar",KZGPI- 1990,44.0,0.5,0.2,10.0,0.4,0
ER041,"Jeruk ragi, segar",KZGPI- 1990,49.0,0.7,0.2,11.1,0.5,0
ER042,"Kawista, segar",KZGPI- 1990,120.0,3.5,2.5,20.8,4.6,0
ER043,"Kedondong masak, segar",DABM-1964,46.0,1.0,0.1,10.3,2.6,0
ER044,"Kedondong, segar",KZGMI-2001,47.0,0.5,0.2,10.4,2.7,0
ER045,"Kelapa hutan, kering",KZGMI-2001,623.0,2.0,52.1,36.5,15.3,1
ER046,"Kelapa muda, daging, segar",DABM-1964,68.0,1.0,0.9,14.0,0.0,0
ER048,"Kesemek, segar",DABM-1964,78.0,0.8,0.4,20.0,0.6,0
ER053,"Lontar, segar",KZGPI- 1990,27.0,0.4,0.2,6.0,1.6,0
ER054,"Mangga, segar",KZGMI-2001,52.0,0.7,0.0,12.3,1.6,0
ER055,"Mangga benggala, segar",KZGMI-2001,63.0,2.4,0.4,12.4,5.8,0
ER056,"Mangga gedung, segar",DABM-1964,44.0,0.7,0.2,11.2,1.6,0
ER057,"Mangga golek, segar",DABM-1964,63.0,0.5,0.2,16.7,2.3,0
ER058,"Mangga harumanis, segar",DABM-1964,46.0,0.4,0.2,11.9,1.7,0
ER059,"Mangga indramayu, segar",DABM-1964,72.0,0.8,0.2,18.7,2.5,0
ER060,"Mangga kopek, segar",DABM-1964,56.0,0.4,0.2,14.6,2.0,0
ER061,"Mangga kwini, segar",KZGMI-2001,86.0,0.7,0.5,19.8,6.5,0
ER062,"Mangga manalagi, segar",KZGMI-2001,133.0,1.0,0.1,32.1,11.8,0
ER063,"Mangga muda, segar",DABM-1964,59.0,0.5,0.4,15.1,,0
ER064,"Manggis, segar",DABM-1964,63.0,0.6,0.6,15.6,1.5,0
ER065,"Markisa, segar",KZGPI- 1990,144.0,3.5,1.2,29.8,11.4,0
ER066,"Matoa, segar",KZGMI-2001,90.0,1.2,0.1,21.1,0.5,0
ER067,"Melon, segar",BKP,37.0,0.6,0.4,7.8,1.0,0
ER069,"Nanas palembang, segar",KZGMI-2001,58.0,0.7,0.2,13.3,1.6,0
ER070,"Nanas, segar",KZGPI- 1990,40.0,0.6,0.3,9.9,0.6,0
ER071,"Nangka masak pohon, segar",DABM-1964,106.0,1.2,0.3,27.6,3.7,0
ER073,"Pepaya, segar",DABM-1964,46.0,0.5,0.1,12.2,1.6,0
ER074,"Pisang ambon, segar",KZGMI-2001,108.0,1.0,0.8,24.3,1.9,0
ER075,"Pisang angleng (pisang ampyang), segar",DABM-1964,68.0,1.3,0.2,17.2,0.8,0
ER076,"Pisang ayam, segar",KZGMI-2001,120.0,1.1,0.2,26.8,4.1,0
ER077,"Pisang gapi, segar",KZGMI-2001,131.0,1.6,0.1,31.1,11.7,0
ER078,"Pisang goroho, segar",KZGMI-2001,119.0,1.5,0.2,27.9,4.6,0
ER079,"Pisang hijau, segar",KZGPI- 1990,121.0,1.0,0.1,28.9,0.4,0
ER080,"Pisang kayu, segar",KZGMI-2001,100.0,1.4,0.5,23.6,2.6,0
ER081,"Pisang kepok, segar",KZGMI-2001,109.0,0.8,0.5,26.3,5.7,0
ER082,"Pisang ketip, segar",KZGMI-2001,145.0,1.1,0.3,34.5,6.6,0
ER083,"Pisang kidang, segar",KZGPI- 1990,96.0,1.0,0.2,22.5,0.6,0
ER084,"Pisang lampung, segar",DABM-1964,99.0,1.3,0.2,25.6,4.3,0
ER085,"Pisang mas bali ampenan, segar",KZGMI-2001,92.0,1.4,0.2,21.0,3.7,0
ER086,"Pisang mas bali kopang, segar",KZGMI-2001,127.0,1.4,0.2,31.8,3.7,0
ER087,"Pisang mas, segar",DABM-1964,127.0,1.4,0.2,33.6,1.4,0
ER088,"Pisang raja sereh, segar",KZGPI- 1990,108.0,1.3,0.3,28.2,0.7,0
ER089,"Pisang raja, segar",DABM-1964,120.0,1.2,0.2,31.8,5.3,0
ER090,"Pisang rotan, segar",KZGPI- 1990,98.0,1.3,1.2,20.5,1.0,0
ER091,"Pisang talas, segar",KZGMI-2001,113.0,1.2,0.2,26.7,4.4,0
ER092,Pisang tujuh bulan,KZGMI-2001,94.0,0.6,0.2,22.5,3.7,0
ER093,"Pisang ua, segar",KZGMI-2001,128.0,0.8,0.5,30.2,8.1,0
ER094,"Pisang uli, segar",KZGPI- 1990,134.0,1.1,0.5,35.5,1.4,0
ER096,"Rambutan binjai, segar",KZGMI-2001,76.0,0.5,0.2,18.0,3.8,0
ER097,"Rambutan, segar",DABM-1964,69.0,0.9,0.1,18.1,0.8,0
ER098,"Salak bali, segar",KZGPI- 1990,57.0,0.5,0.1,13.6,1.3,0
ER099,"Salak medan, segar",KZGMI-2001,55.0,0.4,0.2,12.8,3.2,0
ER100,"Salak pondoh, segar",KZGPI- 1990,87.0,0.8,0.4,20.1,0.0,0
ER101,"Salak, segar",DABM-1964,77.0,0.4,,20.9,,0
ER102,"Sawo duren, segar",KZGPI- 1990,64.0,1.0,3.1,8.0,0.8,0
ER103,"Sawo kecik, segar",KZGPI- 1990,111.0,0.9,2.3,21.6,1.0,0
ER104,"Sawo Manila, segar",DABM-1964,92.0,0.5,1.1,22.4,9.5,0
ER105,"Semangka, segar",DABM-1964,28.0,0.5,0.2,6.9,0.4,0
ER106,"Sirsak, segar",DABM-1964,65.0,1.0,0.3,16.3,3.2,0
ER108,"Srikaya, segar",KZGPI- 1990,63.0,1.1,0.5,13.9,2.1,0
ER109,"Sukun muda, segar",KZGPI- 1990,119.0,1.4,0.2,28.1,1.4,0
ER110,"Sukun tua, segar",KZGPI- 1990,126.0,1.6,0.2,24.5,1.5,0
EP003,Getuk pisang,KZGPI- 1990,144.0,1.1,0.4,34.1,0.4,0
EP005,Ledre pisang,KZGPI- 1990,405.0,4.8,5.1,84.9,0.4,1
EP006,Lempog durian,KZGPI- 1990,320.0,3.5,5.7,63.7,4.9,0
EP009,Rujak aceh,KZGMI-2001,82.0,0.4,0.3,19.7,2.4,0
EP010,Sale kesemek,KZGMI-2001,296.0,1.1,0.6,71.2,,0
EP011,Sale pisang siam,KZGPI- 1990,281.0,2.4,0.7,66.1,1.0,0
EP012,"Sale pisang, cilacap",KZGPI- 1990,295.0,2.3,2.1,66.9,1.3,0
FR005,"Ayam, daging, segar",DABM-1964,298.0,18.2,25.0,0.0,0.0,1
FR007,"Ayam, hati, segar",KZGMS-1993,261.0,27.4,16.1,1.6,0.0,1
FR012,"Bebek (itik), daging, segar",DABM-1964,321.0,16.0,28.6,0.0,0.0,1
FR013,"Bebek alabio, daging, segar",KZGMI-2001,303.0,11.3,27.0,3.7,0.0,1
FR016,"Domba, daging, gemuk, segar",DABM-1964,317.0,15.7,27.7,0.0,0.0,1
FR017,"Domba, daging, kurus, segar",DABM-1964,202.0,17.1,14.8,0.0,0.0,1
FR019,"Kambing, daging, segar",DABM-1964,149.0,16.6,9.2,0.0,0.0,0
FR021,"Kerbau, daging, segar",DABM-1964,79.0,18.7,0.5,0.0,0.0,0
FR023,"Sapi, babat, segar",DABM-1964,108.0,17.6,4.2,0.0,0.0,0
FR024,"Sapi, daging, gemuk, segar",DABM-1964,273.0,17.5,22.0,0.0,0.0,1
FR025,"Sapi, daging, kurus, segar",DABM-1964,174.0,19.6,10.0,0.0,0.0,0
FR026,"Sapi, daging, lemak sedang, segar",DABM-1964,201.0,18.8,14.0,0.0,0.0,1
FP001,"Ayam, ampela, goreng",KZGMS-1993,270.0,32.3,11.2,9.9,0.0,1
FP002,"Ayam, usus, goreng",KZGPI-1990,473.0,45.2,26.3,13.9,0.0,1
FP003,"Bebek, daging, goreng",KZGMI-2001,300.0,24.0,20.7,4.5,0.0,1
FP011,"Sapi, abon",KZGPI-1990,212.0,18.0,10.6,59.3,7.5,1
FP012,"Sapi, abon, asli",KZGPI-1990,358.0,14.6,16.1,38.6,2.5,1
FP013,"Sapi, daging, asap",DABM-1964,182.0,32.0,6.0,0.0,0.0,1
FP014,"Sapi, daging, dendeng, mentah",DABM-1964,301.0,55.0,9.0,0.0,,1
FP015,"Sapi, daging, kornet",DABM-1964,289.0,16.0,25.0,0.0,0.0,1
FP016,"Sapi, daging, sosis (Worst)",DABM-1964,448.0,14.5,42.3,2.3,,1
FP021,"Ayam goreng church texas, dada",KZGPI- 1990,338.0,35.2,20.6,0.4,0.0,1
FP022,"Ayam goreng church,texas paha",KZGPI- 1990,287.0,31.0,15.7,1.7,0.0,1
FP023,"Ayam goreng church texas, sayap",KZGPI- 1990,295.0,34.0,16.0,1.5,0.0,1
FP024,"Ayam goreng kalasan, paha",KZGPI- 1990,275.0,37.4,12.2,1.3,0.0,1
FP025,"Ayam goreng kentucky, dada",KZGPI- 1990,298.0,34.2,16.8,0.1,0.0,1
FP026,"Ayam goreng Kentucky, paha",KZGPI- 1990,286.0,32.1,16.1,1.1,0.0,1
FP027,"Ayam goreng Kentucky,sayap",KZGPI- 1990,297.0,35.9,15.2,1.6,0.0,1
FP028,Ayam goreng mbok berek dada,KZGPI- 1990,295.0,39.2,13.6,1.0,0.0,1
FP029,"Ayam goreng pasundan, dada",KZGPI-1990,246.0,37.9,9.0,0.7,0.0,1
FP030,"Ayam goreng pasundan, paha",KZGPI-1990,245.0,33.1,11.4,0.3,0.0,1
FP031,"Ayam goreng pioneer, dada",KZGPI-1990,295.0,37.4,14.7,0.6,0.0,1
FP032,"Ayam goreng sukabumi, dada",KZGPI-1990,244.0,36.7,9.2,1.0,0.0,1
FP033,"Ayam goreng sukabumi, paha",KZGPI-1990,283.0,35.7,14.3,0.5,0.0,1
FP034,"Ayam taliwang, masakan",KZGMI-2001,264.0,18.2,20.1,2.7,,1
FP036,Beef burger,KZGMS-1993,258.0,10.6,9.5,32.5,0.4,0
FP037,"Beef teriyaki, masakan",KZGMS-1993,151.0,8.6,3.1,22.3,0.3,0
FP038,"Beef yakiniku, masakan",KZGMS-1993,132.0,9.8,1.1,20.7,0.3,0
FP040,"Bulgogi, masakan",KZGMS-1993,72.0,11.4,4.9,1.4,1.7,0
FP041,"Chicken teriyaki, masakan",KZGMS-1993,168.0,13.0,9.6,7.5,0.8,0
FP043,"Coto mangkasara, kuda, masakan",,96.0,6.8,5.9,3.8,,0
FP044,"Coto mangkasara, sapi, masakan",KZGMI-2001,84.0,6.0,6.0,1.4,,0
FP046,"Empal (daging) Goreng, masakan",KZGMS-1993,248.0,36.2,6.9,10.1,,1
FP047,Gulai kambing,KZGMI-2001,126.0,4.2,9.4,6.2,,0
FP049,"Kalio ayam, masakan",KZGMS-1993,203.0,16.0,13.5,4.4,,0
FP051,"Kalio kikil (tunjang), masakan",KZGMS-1993,122.0,13.8,5.7,3.9,,0
FP061,"Rawon, masakan",KZGPI-1990,60.0,5.4,2.5,4.0,,0
FP062,"Rendang sapi, masakan",KZGPI-1990,193.0,22.6,7.9,7.8,0.0,0
FP068,"Sop buntut, masakan",KZGMS-1993,71.0,7.5,3.6,2.2,,0
FP069,"Sop daging sapi, masakan",KZGMS-1993,49.0,5.8,0.5,5.3,,0
FP070,"Sop kaki sapi, masakan",KZGMS-1993,68.0,9.0,1.9,3.7,,0
FP071,"Sop kambing, masakan",KZGMS-1993,34.0,5.5,0.8,1.1,,0
FP072,"Sop konro, masakan",KZGMI-2001,71.0,7.4,2.6,4.5,,0
FP073,"Sop saudara, masakan",KZGMI-2001,89.0,7.2,5.0,3.9,,0
FP074,"Soto bandung, masakan",KZGPI-1990,42.0,3.9,1.7,2.8,0.4,0
FP075,"Soto banjar, masakan",KZGMI-2001,110.0,2.9,9.5,3.2,,0
FP076,"Soto betawi, masakan",KZGPI-1990,135.0,2.5,8.8,11.5,0.5,0
FP077,"Soto jeroan, masakan",KZGMS-,92.0,11.8,4.3,1.4,,0
FP078,"Soto kudus, masakan",KZGPI-1990,38.0,2.6,2.3,1.8,0.2,0
FP079,"Soto madura, masakan",KZGPI-1990,60.0,3.5,4.5,1.3,0.0,0
FP080,"Soto padang, masakan",KZGPI-1990,127.0,5.9,6.6,11.0,0.7,0
FP081,"Soto pekalongan, masakan",KZGPI-1990,94.0,3.0,6.8,5.1,0.3,0
FP082,"Soto pemalang, masakan",KZGPI-1990,75.0,3.6,5.2,3.5,0.0,0
FP083,"Soto sukaraja, masakan",KZGPI-1990,80.0,3.2,3.5,9.0,0.3,0
FP084,"Soto sulung, masakan",KZGPI-1990,86.0,2.3,8.5,0.0,0.0,0
FP085,"Sukiyaki, masakan",KZGMS-1993,75.0,5.6,0.4,12.2,0.2,0
GR024,"Ikan ekor kuning, segar",KZGMI-2001,108.0,22.3,1.2,2.1,0.0,0
GR025,"Ikan gabus, segar",KZGMI-2001,80.0,16.2,0.5,2.6,0.0,0
GR030,"Ikan kakap, segar",DABM- 1964,92.0,20.0,0.7,0.0,0.0,0
GR033,"Ikan kamera (kakap merah), segar",KZGMI-2001,86.0,19.7,0.8,0.0,0.0,0
GR038,"Ikan lais, segar",KZGPI- 1990,161.0,11.9,11.5,2.4,0.0,0
GR039,"Ikan layang, segar",DABM- 1964,109.0,22.0,1.7,0.0,0.0,0
GR040,"Ikan layur, segar",KZGPI- 1990,82.0,18.0,1.0,0.4,0.0,0
GR046,"Ikan mas, segar",DABM- 1964,86.0,16.0,2.0,0.0,0.0,0
GR047,"Ikan mayong, segar",KZGPI- 1990,97.0,17.9,2.0,0.4,0.0,0
GR048,"Ikan mujahir, segar",KZGPI- 1990,89.0,18.7,1.0,0.0,0.0,0
GR053,"Ikan patin, segar",KZGMI-2001,132.0,17.0,6.6,1.1,0.0,0
GR057,"Ikan sarden, segar",KZGMI-2001,109.0,19.9,1.8,3.4,0.0,0
GR058,"Ikan selar, segar",DABM- 1964,100.0,18.8,2.2,0.0,0.0,0
GR059,"Ikan sepat, segar",KZGMI-2001,84.0,15.2,0.6,4.7,0.0,0
GR060,"Ikan sidat, segar",KZGPI- 1990,81.0,11.4,1.9,3.8,0.0,0
GR068,"Ikan teri, segar",KZGPI- 1990,74.0,10.3,1.4,4.1,0.0,0
GR070,"Ikan tongkol, segar",KZGMI-2001,100.0,13.7,1.5,8.0,0.0,0
GR072,"Keong, segar",DABM- 1964,64.0,12.0,1.0,2.0,0.0,0
GR073,"Kepiting, segar",DABM- 1964,151.0,13.8,3.8,14.1,0.0,0
GR074,"Kerang, segar",KZGPI- 1990,101.0,14.4,2.6,3.9,0.0,0
GR079,"Rajungan, segar",KZGMI-2001,76.0,12.1,2.0,2.4,0.0,0
GR080,"Rebon, udang kecil, segar",DABM- 1964,81.0,16.2,1.2,0.7,0.0,0
GR082,"Udang galah, segar",KZGMI-2001,81.0,16.5,0.3,3.0,0.0,0
GR083,"Udang, besar, segar",KZGMI-2001,56.0,11.4,0.6,1.2,0.0,0
GR084,"Udang, segar",DABM- 1964,91.0,21.0,0.2,0.1,0.0,0
GP002,"Belut, goreng",KZGPI- 1990,417.0,25.9,19.4,32.0,0.0,1
GP003,"Cumi-cumi, goreng",KZGPI- 1990,265.0,40.6,10.1,0.0,0.0,1
GP004,"Ikan asin, kering",DABM- 1964,193.0,42.0,1.5,0.0,0.0,1
GP005,"Ikan bandeng presto, masakan",KZGPI- 1990,296.0,17.1,20.3,11.3,0.0,1
GP006,Ikan baung bakar,KZGMI-2001,144.0,17.8,5.8,5.2,,0
GP007,Ikan Belida bakar,KZGMI-2001,128.0,18.0,3.0,7.2,0.0,0
GP008,"Ikan cakalang asap, mentah",KZGMI-2001,204.0,34.2,5.6,1.9,,1
GP009,"Ikan cakalang asin, mentah",KZGPI- 1990,198.0,36.5,2.2,5.5,0.0,1
GP010,"Ikan calo/ peda, mentah",KZGPI- 1990,81.0,11.4,1.9,3.8,0.0,0
GP011,"Ikan Gabus asap, mentah",KZGMI-2001,261.0,38.1,2.3,21.9,0.0,1
GP012,"Ikan Gabus, kering",DABM- 1964,268.0,58.0,4.0,0.0,0.0,1
GP013,"Ikan gete, goreng",KZGMI-2001,267.0,23.1,19.4,0.2,,1
GP014,"Ikan hiu, kering",KZGMI-2001,298.0,46.3,3.6,20.2,,1
GP015,"Ikan katombo, asin",KZGPI- 1990,162.0,31.7,2.8,0.3,0.0,0
GP016,"Ikan kayu, kering",KZGMI-2001,302.0,70.7,1.9,0.4,0.0,1
GP017,Ikan Lais bakar,KZGMI-2001,147.0,17.5,6.5,5.4,,0
GP018,"Ikan lomak asin, mentah",KZGMI-2001,258.0,40.3,2.3,18.9,0.0,1
GP019,Ikan Mas pepes,KZGPI- 1990,209.0,15.2,11.3,11.8,0.5,0
GP020,Ikan mujahir goreng,KZGPI- 1990,416.0,46.9,23.9,0.0,0.0,1
GP021,Ikan Mujahir pepes,KZGPI- 1990,121.0,21.7,2.8,0.8,0.0,0
GP022,"Ikan mujahir, dendeng, mentah",,582.0,68.3,15.2,37.2,0.0,1
GP023,"Ikan Papuyu, bakar",KZGMI-2001,152.0,17.6,6.1,6.7,0.0,0
GP024,"Ikan Patin, bakar",KZGMI-2001,144.0,17.5,6.3,4.3,,0
GP025,"Ikan peda banjar, mentah",DABM- 1964,156.0,28.0,4.0,2.0,0.0,0
GP026,"Ikan pepetek, mentah",DABM-60/64,176.0,32.0,4.4,2.0,0.0,1
GP027,"Ikan Pindang banjar, mentah",DABM-60/64,157.0,28.0,4.2,1.8,0.0,0
GP028,"Ikan Pindang benggol, mentah",DABM-60/64,170.0,31.0,4.2,0.0,0.0,0
GP029,"Ikan Pindang layang, mentah",DABM-60/64,153.0,30.0,2.8,0.0,0.0,0
GP030,"Ikan Pindang selar, mentah",DABM-60/64,142.0,27.0,3.0,0.0,0.0,0
GP031,"Ikan sale, mentah",BKP,534.0,40.2,39.3,4.9,2.0,1
GP032,"Ikan sale lais, mentah",KZGPI- 1990,415.0,61.3,17.6,2.9,0.0,1
GP033,"Ikan saluang, kering, mentah",KZGMI-2001,284.0,34.1,9.9,14.6,0.0,1
GP034,"Ikan sanggang, masakan",KZGMI-2001,240.0,21.7,7.7,20.7,,1
GP035,"Ikan selar kuning, cue, mentah",DABM- 1964,138.0,27.0,3.3,0.0,0.0,0
GP036,"Ikan selar, kering, mentah",DABM-60/64,194.0,38.0,3.5,0.0,0.0,1
GP037,"Ikan sepat, kering, mentah",DABM-60/64,289.0,38.0,14.0,0.0,0.0,1
GP038,"Ikan sunu, asin, mentah",,199.0,34.1,3.8,7.1,,1
GP039,"Ikan, tepung, mentah",KZGPI- 1990,316.0,60.0,6.5,22.4,0.0,1
GP040,"Ikan Teri nasi, kering, mentah",DABM-60/64,144.0,32.5,0.6,0.0,0.0,0
GP041,"Ikan Teri, bubuk, mentah",DABM-60/64,277.0,60.0,2.3,1.8,0.0,1
GP042,"Ikan teri, kering, mentah",DABM-60/64,170.0,33.4,3.0,0.8,0.0,0
GP043,"Ikan Teri, kering, tawar, mentah",DABM-60/64,331.0,68.7,4.2,0.0,0.0,1
GP044,"Ikan Teri, tepung, mentah",KZGPI- 1990,347.0,48.8,6.4,19.6,0.0,1
GP045,"Kerang, asap, mentah",KZGMI-2001,393.0,38.9,13.3,29.4,,1
GP046,"Kerang, dendeng, mentah",KZGPI- 1990,357.0,41.1,10.0,25.6,0.0,1
GP047,"Rebon, kering, mentah",DABM-60/64,299.0,59.4,3.6,3.2,0.0,1
GP048,"Rebung laut, mentah",KZGMI-2001,320.0,7.2,4.2,63.3,,0
GP049,Sardines dalam kaleng,DABM-60/64,338.0,21.1,27.0,1.0,0.0,1
GP051,"Udang kering, mentah",KZGMI-2001,278.0,62.6,4.1,2.2,,1
GP052,"Udang papay, mentah",KZGMI-2001,273.0,47.8,3.8,12.5,,1
GP053,Abon haruwan,KZGMI-2001,513.0,23.7,37.0,21.3,,1
GP054,Abon ikan,KZGMI-2001,435.0,27.2,20.2,36.1,,1
GP058,Cakalang asar (asap),KZGMI-2001,155.0,20.1,3.8,10.2,,0
GP059,"Dendeng belut, goreng, masakan",KZGPI- 1990,382.0,55.7,14.1,8.0,0.0,1
GP060,"Dendeng mujahir, goreng, masakan",KZGPI- 1990,598.0,74.3,26.9,9.2,0.0,1
GP061,Fillet o-fish,KZGMS-1993,270.0,12.3,15.9,19.3,0.2,1
GP062,"Gete kuah asam, masakan",KZGMI-2001,75.0,8.2,2.0,6.0,,0
GP063,"Gulai asam keueung, masakan",KZGMI-2001,52.0,10.0,0.5,1.8,,0
GP065,"Gulai ikan, masakan",KZGMS-1993,106.0,16.5,3.3,2.5,,0
GP064,"Gulai ikan paya, masakan",KZGMI-2001,148.0,10.0,9.8,5.0,,0
GP066,"Gulai keumamah, masakan",KGZMI-2001,110.0,5.9,8.2,3.2,,0
GP067,"Gulai tiram, masakan",KZGMI-2001,132.0,9.0,7.2,7.8,,0
GP068,"Gurame asem manis, masakan",KZGPI- 1990,192.0,12.7,10.1,12.7,0.0,0
GP069,"Ikan asar merah, masakan",KZGMI-2001,146.0,17.7,5.9,5.6,,0
GP070,"Jambal goreng, masakan",KZGMS-1993,286.0,48.5,9.2,2.3,,1
GP074,"Model, masakan",KZGMI-2001,79.0,2.2,4.0,8.6,,0
GP075,"Mujahir acar kuning, masakan",KZGPI- 1990,330.0,17.8,23.4,12.1,1.1,1
GP076,"Parede baleh, masakan",KZGMI-2001,87.0,10.5,2.5,5.5,,0
GP077,"Pempek adaan, masakan",KZGMI-2001,162.0,4.9,3.0,27.8,,0
GP078,"Pempek belida, masakan",,156.0,4.2,1.4,31.6,0.2,0
GP079,"Pempek kapal selam, masakan",KZGMI-2001,152.0,4.5,2.3,28.2,,0
GP080,"Pempek kelesan, masakan",KZGPI- 1990,211.0,12.3,6.1,26.6,0.4,0
GP081,"Pempek kulit, masakan",KZGMI-2001,243.0,5.2,7.3,39.1,,0
GP082,"Pempek telur, masakan",KZGMI-2001,156.0,4.7,2.7,28.3,,0
GP083,"Pempek tenggiri, masakan",KZGPI- 1990,173.0,7.2,1.2,33.4,0.2,0
GP084,"Pencok lele, masakan",KZGPI- 1990,372.0,7.8,36.3,3.5,0.0,1
GP086,"Pindang kenari, masakan",KZGMI-2001,124.0,9.5,9.6,0.0,,0
GP090,Sate Bandeng,BKP,283.0,12.1,16.8,20.9,2.0,1
GP092,"Tekwan, masakan",KZGMI-2001,53.0,1.9,0.9,9.4,,0
GP093,"Teri belado, masakan",KZGPI- 1990,365.0,23.7,22.3,17.5,0.0,1
GP094,"Tumis bandeng, masakan",KZGMI-2001,189.0,11.3,15.7,0.6,,0
HR001,"Telur ayam kampung, segar",KZGMI-2001,174.0,10.8,14.0,1.2,0.0,0
HR002,"Telur ayam ras, segar",KZGPI-1990,154.0,12.4,10.8,0.7,0.0,0
HR003,"Telur ayam ras, bagian kuning, segar",DABM-1964,355.0,16.3,31.9,0.7,0.0,1
HR004,"Telur Ayam ras,bagian putih, segar",DABM-1964,50.0,10.8,0.0,0.8,0.0,0
HR005,"Telur bebek alabio, segar",KZGMI-2001,187.0,11.8,14.2,3.0,0.0,0
HR006,"Telur bebek, bagian kuning, segar",DABM-1964,386.0,17.0,35.0,0.8,0.0,1
HR007,"Telur bebek, bagian putih, segar",DABM-1964,54.0,11.0,0.0,0.8,0.0,0
HR008,"Telur bebek tambak, segar",KZGMI-2001,187.0,10.9,12.4,7.9,0.0,0
HR011,"Telur burung puyuh, segar",FCTEA-1972,116.0,10.7,7.0,1.6,0.0,0
HP001,"Telur ayam, dadar, masakan",KZGPI-1990,251.0,16.3,19.4,1.4,0.0,1
HP002,"Telur bebek, asin, mentah",DABM-60/64,179.0,13.6,13.3,4.4,0.0,0
HP003,"Telur bebek, dadar, masakan",KZGPI-1990,301.0,20.0,23.7,0.0,0.0,1
HP004,"Ikan, telur, asin, mentah",KZGMI-2001,358.0,20.7,26.4,9.4,0.0,1
