KODE,NAMA BAHAN,SUMBER,ENERGI,PROTEIN,LEMAK,KH,SERAT,Cluster
CR046,"Lamtoro biji, muda, segar",DABM-1964,85.0,5.7,0.3,15.4,10.8,0
CR047,"Lamtoro biji, tua, segar",DABM-1964,148.0,10.6,0.5,26.2,17.0,0
CR048,"Lamtoro var, gung tanpa kulit",KZGPI- 1990,367.0,46.4,5.4,32.5,2.6,1
CR049,"Lamtoro var, lokal dengan kulit",KZGPI- 1990,336.0,23.8,1.2,59.7,15.4,1
CR050,"Nangka, biji, segar",DABM-1964,165.0,4.2,0.1,36.7,1.8,0
CR051,"Saga merah terkupas, mentah",KZGPI- 1990,449.0,30.6,25.5,31.9,3.5,1
CR052,"Wijen, mentah",DABM-1964,568.0,19.3,51.1,18.1,3.6,1
CP001,"Kacang belimbing, rebus",KZGPI-1990,204.0,16.9,8.8,17.5,4.8,0
CP002,"Kacang bogor, goreng",KZGPI-1990,479.0,12.7,23.2,58.9,1.2,1
CP003,"Kacang bogor, rebus",KZGPI-1990,161.0,7.7,2.8,27.2,2.0,0
CP004,"Kacang gude, rebus",KZGPI-1990,147.0,9.0,0.5,27.5,3.4,0
CP005,"kacang hijau, rebus",KZGPI-1990,109.0,8.7,0.5,18.3,1.5,0
CP006,"Kacang kedelai, goreng",KZGPI-1990,521.0,32.2,37.7,22.9,7.6,1
CP007,"Kacang kedelai, rebus",KZGPI-1990,189.0,20.2,8.2,12.7,1.6,0
CP008,"Kacang merah kering, rebus",KZGPI- l990,158.0,10.3,0.9,28.2,2.6,0
CP009,"Kacang merah segar, rebus",KZGPI- l990,144.0,10.0,1.0,24.7,3.5,0
CP010,"Kacang mete/biji jambu monyet, goreng",KZGPI- 1990,629.0,20.4,56.3,19.8,1.1,1
CP011,Kacang tanah rebus dg kulit,DABM-1964,360.0,13.5,31.2,12.8,,1
CP012,"Kacang tanah, goreng",KZGPI- l990,564.0,25.5,44.4,25.5,2.8,1
CP013,"Kacang tanah, rebus",KZGPI- l990,220.0,10.6,28.0,8.0,1.0,1
CP014,"Kacang tolo, rebus",KZGPI- l990,138.0,10.7,1.1,22.6,0.9,0
CP015,Ampas kacang hijau,KZGPI- 1990,96.0,3.7,0.6,19.1,2.7,0
CP016,"Ampas tahu, mentah",KZGPI- 1990,67.0,5.0,2.1,8.1,4.1,0
CP017,Ampas tahu kukus,KZGPI- 1990,75.0,4.1,2.1,10.7,5.1,0
CP018,"Ampas tahu, kering",DABM-1964,414.0,26.6,18.3,41.3,0.0,1
CP019,Pepea oncom ampas tahu,KZGPI- 1990,76.0,5.2,1.8,10.6,2.2,0
CP020,Bungkil biji karet,DABM-1964,210.0,30.0,10.0,10.0,,1
CP021,Bungkil kacang tanah,DABM-1964,365.0,45.0,13.0,17.0,,1
CP022,Bungkil kelapa,DABM-1964,36.0,23.0,15.0,35.0,,0
CP023,Dodol banjarmasin,KZGMI-2001,368.0,2.6,8.6,70.0,0.5,0
CP024,Emping (kerupuk melinjo),DABM-1964,300.0,12.0,1.5,61.0,,0
CP025,Emping komak,KZGMI-2001,355.0,17.8,4.6,60.7,,1
CP026,Enting-enting gepuk hello kity,KZGPI- 1990,538.0,13.6,30.3,52.6,0.2,1
CP027,Enting-enting gepuk kacang tanah,KZGPI- 1990,524.0,13.3,29.2,52.2,0.2,1
CP028,Enting-enting wijen,KZGPI- 1990,565.0,18.2,38.4,36.8,1.9,1
CP029,Geplak,KZGMI-2001,350.0,1.4,14.4,53.6,1.8,1
CP030,Geplak jahe,KZGMI-2001,462.0,3.1,24.4,57.7,3.3,1
CP031,Kacang atom,KZGPI- 1990,533.0,27.8,38.1,28.8,2.5,1
CP032,Kacang goyang,KZGMI-2001,516.0,14.7,31.1,44.4,,1
CP033,Kacang negara,KZGMI-2001,480.0,18.4,19.1,58.5,11.7,1
CP034,Kacang sukro,KZGPI- 1990,484.0,8.8,26.1,57.7,1.8,1
CP035,Kacang tanah sari,KZGPI- 1990,561.0,25.5,43.8,26.0,2.2,1
CP036,Keju kacang tanah (peanut butter),DABM-1964,590.0,27.0,49.0,20.9,1.6,1
CP037,Kembang tahu,KZGPI- 1990,380.0,48.9,13.8,23.3,0.0,1
CP038,Kembang tahu rebus,KZGPI- 1990,90.0,10.7,4.0,4.7,,0
CP039,Keripik oncom,KZGPI- 1990,598.0,8.3,43.8,42.6,3.3,1
CP040,Keripik tempe,KZGPI- 1990,581.0,12.1,40.6,41.7,2.2,1
CP041,Keripik tempe abadi besar,KZGPI- 1990,556.0,15.8,37.1,39.8,3.5,1
CP042,Keripik tempe abadi murni,KZGPI- 1990,542.0,40.3,42.4,11.6,2.2,1
CP043,Keripik tempe abadi sedang,KZGPI- 1990,510.0,12.3,27.9,52.4,3.6,1
CP044,Keripik tempe abadi telur,KZGPI- 1990,529.0,20.8,31.7,40.2,3.0,1
CP045,Kerupik tempe abadi prima,KZGPI- 1990,540.0,16.7,33.9,42.0,2.2,1
CP046,Kwaci,DABM-1964,515.0,30.6,42.1,13.8,13.6,1
CP047,Melinjo emping tebal goreng manis,KZGPI- 1990,439.0,10.0,16.4,65.7,,1
CP048,"Melinjo emping tebal, goreng asin",KZGPI- 1990,431.0,11.1,16.2,63.0,,1
CP049,Melinjo emping tipis goreng,KZGPI- 1990,485.0,11.5,24.5,59.1,,1
CP050,Moon tahu,KZGMS-1993,128.0,8.0,10.0,1.3,0.2,0
CP051,Oncom,DABM-1964,187.0,13.0,6.0,22.6,,0
CP052,Oncom ampas kacang hijau,KZGPI- 1990,376.0,14.9,6.0,65.7,12.3,1
CP053,Oncom kacang hijau + singkong,KZGPI- 1990,351.0,11.0,5.3,65.9,9.0,1
CP054,Oncom kacang tanah pepes,KZGPI- 1990,132.0,12.7,3.8,13.7,3.1,0
CP055,Rempeyek kacang tanah,KZGPI- 1990,513.0,17.5,32.5,44.3,1.7,1
CP056,Rempeyek kacang tolo,KZGPI- 1990,451.0,11.2,20.2,59.7,1.8,1
CP057,Rempeyek kacang uci,KZGPI- 1990,497.0,17.0,27.6,50.8,2.4,1
CP058,Sayur lebui,KZGMI-2001,64.0,2.1,0.6,12.5,5.7,0
CP059,"Saridele, bubuk",DABM-1964,344.0,30.0,20.0,43.0,6.2,1
CP060,Susu kedelai,DABM-1964,41.0,3.5,2.5,5.0,0.2,0
CP061,"Tahu, mentah",KZGPI- 1990,80.0,10.9,4.7,0.8,0.1,0
CP062,Tahu goreng,KZGPI- 1990,115.0,9.7,8.5,2.5,0.1,0
CP063,Tahu telur,KZGMS-1993,328.0,12.6,19.9,24.6,0.4,1
CP064,Takwa,KZGPI- 1990,148.0,13.8,8.5,4.0,0.0,0
CP065,Tauco,KZGPI- 1990,184.0,11.4,5.5,22.2,1.9,0
CP066,"Tauco cap beruang, cake",KZGPI- 1990,347.0,7.4,5.2,67.6,3.2,0
CP067,"Tauco cap DAS, cake",KZGPI- 1990,358.0,7.5,4.3,70.4,3.1,0
CP068,Tauco cap meong,KZGPI- 1990,159.0,7.4,4.9,21.3,1.6,0
CP069,Tauji cap singa,KZGPI- 1990,277.0,9.1,4.7,49.6,1.2,0
CP070,Tempe bongkrek,DABM-1964,88.0,10.0,4.0,3.0,,0
CP071,Tempe gembus P3G,KZGPI- 1990,73.0,5.7,1.3,10.3,4.2,0
CP072,Tempe gembus yogya,KZGPI- 1990,76.0,6.8,0.7,10.6,5.3,0
CP074,Tempe kacang belimbing,KZGPI- 1990,212.0,17.5,10.0,12.9,2.9,0
CP075,Tempe kedelai + jagung,KZGPI- 1990,143.0,12.0,5.5,11.4,1.9,0
CP076,"Tempe kedelai murni, goreng",KZGPI- 1990,350.0,24.5,26.6,10.4,4.2,1
CP077,"Tempe kedelai murni, mentah",KZGPI- 1990,201.0,20.8,8.8,13.5,1.4,0
CP078,Tempe koro benguk,DABM-1964,141.0,10.2,1.3,23.2,,0
CP079,Tempe lamtoro,KZGPI- 1990,128.0,10.7,0.5,21.3,7.1,0
CP080,"Tempe lamtoro var, gung dengan kulit",KZGPI- 1990,19.6,7.6,1.3,128.0,41.0,0
CP081,"Tempe lamtoro var, gung tanpa kulit",KZGPI- 1990,13.0,1.3,1.1,95.0,154.0,0
CP082,Tempe pasar,KZGPI- 1990,9.1,1.4,0.9,517.0,202.0,2
